trackName,lyric_line,lyric_full
免死金牌,"['多少年後過的挺壞', '多少欠了沒還的愛', '多少人呢 有開始 沒後來', '所有扛不住的我來', '扮給外人看的 左胡鬧 右瞎掰', '可以 我摸摸鼻子 我滾開', '快給我救命的免死金牌', '對抗這蠻橫的該死未來', '快樂的痛 不想當孤單廢物去忍耐', '忘記了身分的免死金牌', '身受重傷的我人畜無害', '大雨和悶酒 不含淚才奇怪', '所以陰天湊在窗外', '看著我的鬍渣 真嘆氣 假釋懷', '多虧我還持有免死金牌', '連這種瘋狂都自己去挨', '放棄了身上的免死金牌', '如同中槍太久心也停擺', '答應妳分手 不對也不意外', '多虧我還持有免死金牌', '連這種瘋狂都自己去挨', '放棄了身上的免死金牌', '如同中槍太久心也停擺', '要命的自由 不完美的悲哀']",多少年後過的挺壞多少欠了沒還的愛多少人呢有開始沒後來所有扛不住的我來扮給外人看的左胡鬧右瞎掰可以我摸摸鼻子我滾開快給我救命的免死金牌對抗這蠻橫的該死未來快樂的痛不想當孤單廢物去忍耐忘記了身分的免死金牌身受重傷的我人畜無害大雨和悶酒不含淚才奇怪所以陰天湊在窗外看著我的鬍渣真嘆氣假釋懷多虧我還持有免死金牌連這種瘋狂都自己去挨放棄了身上的免死金牌如同中槍太久心也停擺答應妳分手不對也不意外多虧我還持有免死金牌連這種瘋狂都自己去挨放棄了身上的免死金牌如同中槍太久心也停擺要命的自由不完美的悲哀
修羅,"['活在煉獄的修羅 準備好解開了枷鎖', '根本沒在躲 沒你想像那麼壞 也沒你想像那麼好', '為何卻要被無知風向上了銬', '任何時間 任何一天 早就厭倦', '曾經站在高處 也在山下打滾無數', '在深淵感到無助 看清所有骯髒事物', '看看我這廢物 撥開眼前迷霧', '小人物也可以站得住 開拓自己的路', '不解釋 不代表 就要被定罪']",活在煉獄的修羅準備好解開了枷鎖根本沒在躲沒你想像那麼壞也沒你想像那麼好為何卻要被無知風向上了銬任何時間任何一天早就厭倦曾經站在高處也在山下打滾無數在深淵感到無助看清所有骯髒事物看看我這廢物撥開眼前迷霧小人物也可以站得住開拓自己的路不解釋不代表就要被定罪
TRAP GAME,"['叢林的玫瑰 誘人帶著殺傷力', '偽裝成鬼魅 著迷又有點神秘', '隱藏好你的行蹤', '別曝露你的懦弱', '眼前的獵物我蓄勢待發', '敏銳直覺無限放大', '隱藏好你的行蹤', '別曝露你的懦弱', '眼前的獵物我蓄勢待發', '敏銳直覺無限放大', '當獅子開始發號施令', '別來干擾我的決定', '隱藏好你的行蹤', '別曝露你的懦弱', '眼前的獵物我蓄勢待發', '敏銳直覺無限放大']",叢林的玫瑰誘人帶著殺傷力偽裝成鬼魅著迷又有點神秘隱藏好你的行蹤別曝露你的懦弱眼前的獵物我蓄勢待發敏銳直覺無限放大隱藏好你的行蹤別曝露你的懦弱眼前的獵物我蓄勢待發敏銳直覺無限放大當獅子開始發號施令別來干擾我的決定隱藏好你的行蹤別曝露你的懦弱眼前的獵物我蓄勢待發敏銳直覺無限放大
帥一個,"['今天有幾間媒體全部出來面對', '還有幾個會議想要把時間拖累', '下個通告路上又被人群給包圍', '光聽快門聲就分辨是哪台單眼', '帥一個帥一個帥一個帥一個', '每個動作', '下一個下一個下一個下一個', '隨你捕捉', '一個打十個不足以形容我的意念', '帥在每個細節根本不分日夜', '街道冷清的時刻下榻飯店', '又必須單獨面對陌生新的房間', '忘了疲倦我已走遍了整個世界', '擁有了越多就非得要這個樣', '要 帥一個', '帥一個 新的裝備跟不上我進度', '帥一個 全身上下都是焦點被人追逐', '帥一個 解開束縛無視既定的套路', '帥一個 二十四小時保持全神貫注', '帥一個帥一個帥一個帥一個', '笑一個笑一個笑一個笑一個', '開著跑車慢速慢慢經過你的面前', '要你知道我撐了幾年才有今天']",今天有幾間媒體全部出來面對還有幾個會議想要把時間拖累下個通告路上又被人群給包圍光聽快門聲就分辨是哪台單眼帥一個帥一個帥一個帥一個每個動作下一個下一個下一個下一個隨你捕捉一個打十個不足以形容我的意念帥在每個細節根本不分日夜街道冷清的時刻下榻飯店又必須單獨面對陌生新的房間忘了疲倦我已走遍了整個世界擁有了越多就非得要這個樣要帥一個帥一個新的裝備跟不上我進度帥一個全身上下都是焦點被人追逐帥一個解開束縛無視既定的套路帥一個二十四小時保持全神貫注帥一個帥一個帥一個帥一個笑一個笑一個笑一個笑一個開著跑車慢速慢慢經過你的面前要你知道我撐了幾年才有今天
不逃,"['感到失落 深怕再次敗退', '不想下陷 必須跳躍', '巴掌打響 那些不實謠言', '當你獨大 獨步像是武當', '就算輸怕  或被辱罵', '反轉輸家 逆風局將觸發', '太多威脅 一路上迎面了多少危險', '就算傷口滴著血', '這過程我背著水  背著累  背著罪', '太多威脅 一路上迎面了多少危險', '有些場景 不敢想起 恐懼勸你退', '大浪想將我乘走 這活我幹的上手', '正如你期待 船的軌跡早已渡過', '當你獨大 獨步像是武當', '就算輸怕  或是辱罵', '反轉輸家 逆風局將觸發', '太多威脅 一路上迎面了多少危險', '就算傷口滴著血', '這過程我背著水  背著累  背著罪', '太多威脅 一路上迎面了多少危險']",感到失落深怕再次敗退不想下陷必須跳躍巴掌打響那些不實謠言當你獨大獨步像是武當就算輸怕或被辱罵反轉輸家逆風局將觸發太多威脅一路上迎面了多少危險就算傷口滴著血這過程我背著水背著累背著罪太多威脅一路上迎面了多少危險有些場景不敢想起恐懼勸你退大浪想將我乘走這活我幹的上手正如你期待船的軌跡早已渡過當你獨大獨步像是武當就算輸怕或是辱罵反轉輸家逆風局將觸發太多威脅一路上迎面了多少危險就算傷口滴著血這過程我背著水背著累背著罪太多威脅一路上迎面了多少危險
Birthday,"['不在乎極限 炫付出一切', '不在乎極限 炫付出一切', '今夜點燃燭光讓我和你對口吹', '讓我能感受到你對我撕心裂肺', '今天主角是誰 廢話 是我 出力 出力', '屋頂熱的火辣 不會太早回家', '不在乎極限 炫付出一切', '不在乎極限 炫付出一切', '不要再問我累不累', '香檳煙火噴柱 來敲杯']",不在乎極限炫付出一切不在乎極限炫付出一切今夜點燃燭光讓我和你對口吹讓我能感受到你對我撕心裂肺今天主角是誰廢話是我出力出力屋頂熱的火辣不會太早回家不在乎極限炫付出一切不在乎極限炫付出一切不要再問我累不累香檳煙火噴柱來敲杯
羅志祥,"['留了個微笑快遞給我', '把我帶進空前的傳說', '你就像一顆流星墜落', '內心的平靜驚出蓬勃', '泛起的漣漪赴湯蹈火', '可你卻不食人間煙火', '這個世界 究竟誰會愛我', '剛好是你的話 就再也不用為愛奔波', '我只想和你 唱最動人的歌曲', '我只想為你 心碎卻如此著迷', '我只想和你 在柔軟海灘散步', '留下排的很長很長的腳印', '我只想和你 傾聽綻放的聲音', '我只想和你 在最美的年華相遇', '哪怕是虛度光陰 就算與時間為敵', '與世界背離 一起向時光盡頭燃盡', '泛起的漣漪赴湯蹈火', '可你卻不食人間煙火', '這個世界 究竟誰會愛我', '剛好是你的話 就再也不用為愛奔波', '我只想和你 唱最動人的歌曲', '我只想為你 心碎卻如此著迷', '我只想和你 在柔軟的海灘散步', '留下排的很長很長的腳印', '我只想和你 傾聽綻放的聲音', '我只想和你 在最美的年華相遇', '哪怕是虛度光陰 就算與時間為敵', '與世界背離 一起向時光盡頭燃盡', '我只想和你 唱最動人的歌曲', '我只想為你 心碎卻如此著迷', '我只想和你 在柔軟的海灘散步', '留下排的很長很長的腳印', '我只想和你 傾聽綻放的聲音', '我只想和你 在最美的年華相遇', '哪怕是虛度光陰 就算與時間為敵', '與世界背離 一起向時光盡頭燃盡']",留了個微笑快遞給我把我帶進空前的傳說你就像一顆流星墜落內心的平靜驚出蓬勃泛起的漣漪赴湯蹈火可你卻不食人間煙火這個世界究竟誰會愛我剛好是你的話就再也不用為愛奔波我只想和你唱最動人的歌曲我只想為你心碎卻如此著迷我只想和你在柔軟海灘散步留下排的很長很長的腳印我只想和你傾聽綻放的聲音我只想和你在最美的年華相遇哪怕是虛度光陰就算與時間為敵與世界背離一起向時光盡頭燃盡泛起的漣漪赴湯蹈火可你卻不食人間煙火這個世界究竟誰會愛我剛好是你的話就再也不用為愛奔波我只想和你唱最動人的歌曲我只想為你心碎卻如此著迷我只想和你在柔軟的海灘散步留下排的很長很長的腳印我只想和你傾聽綻放的聲音我只想和你在最美的年華相遇哪怕是虛度光陰就算與時間為敵與世界背離一起向時光盡頭燃盡我只想和你唱最動人的歌曲我只想為你心碎卻如此著迷我只想和你在柔軟的海灘散步留下排的很長很長的腳印我只想和你傾聽綻放的聲音我只想和你在最美的年華相遇哪怕是虛度光陰就算與時間為敵與世界背離一起向時光盡頭燃盡
No Love,"['笑得很自然的表情 是你最致命的武器', '你做得完全不費吹灰之力', '說愛情最好是遊戲 太認真你嫌太無趣', '敢不敢陪你就當玩玩而已', '我們在一起 不在一起', '不能太在意 最後結局', '我失去抵抗的能力 就算愛你是咎由自取', '我沒辦法更加清醒 就算很可能傷害自己', '越想從你的身邊抽離 越發現愛得身不由己', '你習慣躺在我懷裡 然後承認另有目的', '我卻不介意 下次靠近 反而抱得更緊', '我們在一起 不在一起', '不能太在意 最後結局', '我失去抵抗的能力 就算愛你是咎由自取', '我沒辦法更加清醒 就算很可能傷害自己', '沒有結果的算不算愛情', '沒有愛情的算不算曾經', '面對你就無能為力 我的愛讓你不問自取', '我知道不能放縱你 卻說服不了身體力行', '越想把一切當作遊戲 越發現愛得太過沉迷']",笑得很自然的表情是你最致命的武器你做得完全不費吹灰之力說愛情最好是遊戲太認真你嫌太無趣敢不敢陪你就當玩玩而已我們在一起不在一起不能太在意最後結局我失去抵抗的能力就算愛你是咎由自取我沒辦法更加清醒就算很可能傷害自己越想從你的身邊抽離越發現愛得身不由己你習慣躺在我懷裡然後承認另有目的我卻不介意下次靠近反而抱得更緊我們在一起不在一起不能太在意最後結局我失去抵抗的能力就算愛你是咎由自取我沒辦法更加清醒就算很可能傷害自己沒有結果的算不算愛情沒有愛情的算不算曾經面對你就無能為力我的愛讓你不問自取我知道不能放縱你卻說服不了身體力行越想把一切當作遊戲越發現愛得太過沉迷
NO JOKE,"['我言語不打太極', '案例多的不勝枚舉', '突襲 前進', '招集 著力', '必須走起立竿見影', '虛無 泡影 絕不成立', '不樹敵 沈住氣 成助力', '到處收集消息不是為了', '不在意不搖頭 並不表示 這是真的可以']",我言語不打太極案例多的不勝枚舉突襲前進招集著力必須走起立竿見影虛無泡影絕不成立不樹敵沈住氣成助力到處收集消息不是為了不在意不搖頭並不表示這是真的可以
男人的事(& 黃渤 & 王迅 & 黃磊 & 張藝興 & 孫紅雷),"['成人的世界', '難免偶爾讓人不耐煩', '沒事找事', '黃渤:也得折騰出來點波瀾', '這世界難我卻從未黯淡', '每個男人都要懂得承擔', '天空海闊', '我們抬頭並肩往前走', '你若要我兄弟為難', '我就跟你沒完', '這世界難我卻並不孤單', '有你們在沒有什麼難辦', '我不怕苦', '也永遠不會說後悔', '只要我們在一塊兒', '沒有什麼過不去的坎兒', '過不去的坎兒', '三十以前 日子很難', '可不是嘛', '我年輕能幹 但存款零蛋', '活該呀', '長得賊好看 沒戀愛可談', '十年以後能不能 呵 腰纏萬貫', '三十以後 日子更難 哎呀', '老婆 單位 像兩座大山', '你說說 房子車子 全都是負擔', '怪我咯', '忍辱負重 低頭把活幹', '再努力', '成人的世界', '難免偶爾讓人不耐煩', '沒事找事', '也得折騰出來點波瀾', '一起來', '這世界難我卻從未黯淡', '每個男人都要懂得承擔', '天空海闊', '我們抬頭並肩往前走', '你若要我兄弟為難', '我就跟你沒完', '這世界難我卻並不孤單', '有你們在沒有什麼難辦', '我不怕苦', '也永遠不會說後悔', '只要我們在一塊兒', '沒有什麼過不去的坎兒', '這世界難我卻從未黯淡', '每個男人都要懂得承擔', '天空海闊', '我們抬頭並肩往前走', '你若要我兄弟為難', '我就跟你沒完', '這世界難我卻並不孤單', '有你們在', '沒有什麼難辦', '我不怕苦', '也永遠不會說後悔', '只要我們在一塊兒', '沒有什麼過不去的坎兒', '過不去的坎兒', '世上的事有什麼難', '世上的事沒什麼難', '世上的事有什麼難', '這就是命']",成人的世界難免偶爾讓人不耐煩沒事找事黃渤:也得折騰出來點波瀾這世界難我卻從未黯淡每個男人都要懂得承擔天空海闊我們抬頭並肩往前走你若要我兄弟為難我就跟你沒完這世界難我卻並不孤單有你們在沒有什麼難辦我不怕苦也永遠不會說後悔只要我們在一塊兒沒有什麼過不去的坎兒過不去的坎兒三十以前日子很難可不是嘛我年輕能幹但存款零蛋活該呀長得賊好看沒戀愛可談十年以後能不能呵腰纏萬貫三十以後日子更難哎呀老婆單位像兩座大山你說說房子車子全都是負擔怪我咯忍辱負重低頭把活幹再努力成人的世界難免偶爾讓人不耐煩沒事找事也得折騰出來點波瀾一起來這世界難我卻從未黯淡每個男人都要懂得承擔天空海闊我們抬頭並肩往前走你若要我兄弟為難我就跟你沒完這世界難我卻並不孤單有你們在沒有什麼難辦我不怕苦也永遠不會說後悔只要我們在一塊兒沒有什麼過不去的坎兒這世界難我卻從未黯淡每個男人都要懂得承擔天空海闊我們抬頭並肩往前走你若要我兄弟為難我就跟你沒完這世界難我卻並不孤單有你們在沒有什麼難辦我不怕苦也永遠不會說後悔只要我們在一塊兒沒有什麼過不去的坎兒過不去的坎兒世上的事有什麼難世上的事沒什麼難世上的事有什麼難這就是命
夠了,"['很多嘴天天都塞滿砲火', '製造紛亂當幽默', '只是看圖想太多', '雞蛋挑骨頭', '誰又 愛無中生有', '聽說 再推給夢遊', '你 瞎啦 醉啦 扯吧 奇葩', '吧啦吧啦吧啦吧啦你不累嗎', '時間沒有那麼多 怎麼你都沒事做', '以前明嗆容易躲 現在按鍵難捉摸', '夠了', '像是 你在我身邊下的毒', '不去 管誰咆哮我的態度', '夠了', '什麼態度 難相處', '只會用嘴劍劃幸福', '下什麼蠱', '跟著人盲目 吃土 糊塗 下肚', '現在 開始 倒數', '讓你 心服 口服', '嗆 真人秀 哪些真 哪些胡說', '是觀眾也是兇手', '煙硝味抵著我已讀不悔', '休想用規則逼著我下跪', '把我擊碎往下墜', '我還可以重新起飛', '現在你該煩惱如何下筆', '兩種持著相同道理同時深陷這問題', '謝謝你/妳', '別讓愛褪色 別對恨飢渴', '似是而非只是一線之隔', '夠了', '像是 你在我身邊下的毒', '不去 管誰咆哮我的態度', '夠了']",很多嘴天天都塞滿砲火製造紛亂當幽默只是看圖想太多雞蛋挑骨頭誰又愛無中生有聽說再推給夢遊你瞎啦醉啦扯吧奇葩吧啦吧啦吧啦吧啦你不累嗎時間沒有那麼多怎麼你都沒事做以前明嗆容易躲現在按鍵難捉摸夠了像是你在我身邊下的毒不去管誰咆哮我的態度夠了什麼態度難相處只會用嘴劍劃幸福下什麼蠱跟著人盲目吃土糊塗下肚現在開始倒數讓你心服口服嗆真人秀哪些真哪些胡說是觀眾也是兇手煙硝味抵著我已讀不悔休想用規則逼著我下跪把我擊碎往下墜我還可以重新起飛現在你該煩惱如何下筆兩種持著相同道理同時深陷這問題謝謝你/妳別讓愛褪色別對恨飢渴似是而非只是一線之隔夠了像是你在我身邊下的毒不去管誰咆哮我的態度夠了
無聲的失控,"['原來妳對我的愛是謊 愛是謊 殘酷的謊', '原來妳早就在他身旁 原來妳一直在隱藏', '妳的表情太無害 他的劇本太精彩 是我自己太失敗', '妳的背影已離開 我的故事已崩壞 關了燈出局淘汰', '我好想愛妳 卻愛不到 我好想忘記 卻忘不掉', '我好想恨妳 卻恨不了 愛變成最烈的毒藥', '我多痛沒有人懂', '悲傷啃食我臉孔 不敢拉住你回頭', '無聲的失控 痛了又痛', '多痛 沒有人懂', '好多情緒在暴動 孤獨到快要發瘋', '原來說好的都被遺忘 被遺忘 輕易的忘', '原來心變了防不勝防 原來我白愛了一場', '妳的表情太無害 他的劇本太精彩 是我自己太失敗', '妳的背影已離開 我的故事已崩壞 關了燈出局淘汰', '我好想愛妳 卻愛不到 我好想忘記 卻忘不掉', '我好想恨妳 卻恨不了 愛變成最烈的毒藥', '我多痛沒有人懂', '好多情緒在暴動 孤獨到快要發瘋', '我好想愛妳 卻愛不到', '我好想恨妳 卻恨不了', '愛變成最烈的毒藥', '一幕一幕的愛 割著回憶 刺著腦海', '悲哀 多希望妳會感概', '一切都已回不來', '我多痛沒有人懂', '我的悲傷啃食我臉孔 不敢拉住你回頭', '無聲的失控 痛了又痛', '多痛 沒有人懂', '好多情緒在暴動 孤獨到快要發瘋', '我好想愛妳 卻愛不到', '我好想忘記 卻忘不掉']",原來妳對我的愛是謊愛是謊殘酷的謊原來妳早就在他身旁原來妳一直在隱藏妳的表情太無害他的劇本太精彩是我自己太失敗妳的背影已離開我的故事已崩壞關了燈出局淘汰我好想愛妳卻愛不到我好想忘記卻忘不掉我好想恨妳卻恨不了愛變成最烈的毒藥我多痛沒有人懂悲傷啃食我臉孔不敢拉住你回頭無聲的失控痛了又痛多痛沒有人懂好多情緒在暴動孤獨到快要發瘋原來說好的都被遺忘被遺忘輕易的忘原來心變了防不勝防原來我白愛了一場妳的表情太無害他的劇本太精彩是我自己太失敗妳的背影已離開我的故事已崩壞關了燈出局淘汰我好想愛妳卻愛不到我好想忘記卻忘不掉我好想恨妳卻恨不了愛變成最烈的毒藥我多痛沒有人懂好多情緒在暴動孤獨到快要發瘋我好想愛妳卻愛不到我好想恨妳卻恨不了愛變成最烈的毒藥一幕一幕的愛割著回憶刺著腦海悲哀多希望妳會感概一切都已回不來我多痛沒有人懂我的悲傷啃食我臉孔不敢拉住你回頭無聲的失控痛了又痛多痛沒有人懂好多情緒在暴動孤獨到快要發瘋我好想愛妳卻愛不到我好想忘記卻忘不掉
致命傷,"['想 一起編織的夢想', '越想 胸口就越像被人用針 狠狠的扎', '才說地久天長 突然連夜逃亡', '傻 所以什麼都不怕', '好傻 驕傲的我們互不退讓', '從沒想過 會落得兩敗俱傷的下場', '學鋼鐵倔強 卻有致命傷', '我沒辦法 不去管 不去想 你失望眼光', '再拚一場 轟轟烈烈再陣亡', '總好過你不在我身旁', '我沒那麼強 你是致命傷', '請教教我 怎麼放 怎麼忘 扯漫天大謊', '幫我一個忙 朝我心臟開一槍', '我就有藉口 睜著眼把愛埋葬', '傻 所以什麼都不怕', '好傻 驕傲的我們互不退讓', '從沒想過 會落得兩敗俱傷的下場', '學鋼鐵倔強 卻有致命傷', '我沒辦法 不去管 不去想 你失望眼光', '再拚一場 轟轟烈烈再陣亡', '總好過你不在我身旁', '我沒那麼強 你是致命傷', '請教教我 怎麼放 怎麼忘 扯漫天大謊', '幫我一個忙 朝我心臟開一槍', '我就有藉口 睜著眼把愛埋葬', '我越掙扎 越瘋狂 越妄想 抱你在胸膛', '我犯的錯 就用一輩子賠償', '我不會奢望你能原諒', '我沒那麼強 你是致命傷', '請教教我 怎麼闖 怎麼搶 能讓你回航', '最後一個吻 當作心碎的獎賞', '我就有力量 一個人裝瘋賣傻']",想一起編織的夢想越想胸口就越像被人用針狠狠的扎才說地久天長突然連夜逃亡傻所以什麼都不怕好傻驕傲的我們互不退讓從沒想過會落得兩敗俱傷的下場學鋼鐵倔強卻有致命傷我沒辦法不去管不去想你失望眼光再拚一場轟轟烈烈再陣亡總好過你不在我身旁我沒那麼強你是致命傷請教教我怎麼放怎麼忘扯漫天大謊幫我一個忙朝我心臟開一槍我就有藉口睜著眼把愛埋葬傻所以什麼都不怕好傻驕傲的我們互不退讓從沒想過會落得兩敗俱傷的下場學鋼鐵倔強卻有致命傷我沒辦法不去管不去想你失望眼光再拚一場轟轟烈烈再陣亡總好過你不在我身旁我沒那麼強你是致命傷請教教我怎麼放怎麼忘扯漫天大謊幫我一個忙朝我心臟開一槍我就有藉口睜著眼把愛埋葬我越掙扎越瘋狂越妄想抱你在胸膛我犯的錯就用一輩子賠償我不會奢望你能原諒我沒那麼強你是致命傷請教教我怎麼闖怎麼搶能讓你回航最後一個吻當作心碎的獎賞我就有力量一個人裝瘋賣傻
幸福特調(& 秀智),"['我已無可救藥的愛上妳', '想要把全世界都給妳', '包括我懷裏最浪漫的真心', '愛你 愛你 是我所做過 最對的事情', '我可以給你一輩子的時間 讓你證明', '想陪著你變胖 陪著你變老', '用幸福特調 家的味道', '真愛的味道', '是你噓寒問暖的愛著我', '把我的話都放在心底', '喜歡你為我準備好的永遠', '包括一個溫暖的屋頂', '有一個好男人正在 等妳 說妳願意', '想陪著妳變胖 陪著妳變老', '用幸福特調 家的味道', '我的愛 是情歌 是鑽戒 是門票', '邀請妳去天荒地老', '因為你知道 怎樣對我最好', '用幸福特調 真愛的味道', '我要說我愛你', '想陪著你變胖 陪著你變老', '用幸福特調 家的味道', '想陪著你變胖 陪著你變老', '用幸福特調 家的味道', '我的愛 是情歌 是鑽戒 是門票', '邀請妳去天荒地老', '因為我知道 怎樣對你最好', '要用幸福特調 真愛的味道', '想要把全世界都給妳', '包括我懷裏最浪漫的真心', '我可以給你一輩子的時間 讓你證明', '用幸福特調 家的味道', '真愛的味道', '是你噓寒問暖的愛著我', '把我的話都放在心底', '喜歡你為我準備好的永遠', '包括一個溫暖的屋頂', '有一個好男人正在 等妳 說妳願意', '用幸福特調 家的味道', '我的愛 是情歌 是鑽戒 是門票', '邀請妳去天荒地老', '用幸福特調 真愛的味道', '用幸福特調 家的味道', '想陪著你變胖 陪著你變老', '用幸福特調 家的味道', '邀請妳去天荒地老', '因為我知道 怎樣對你最好', '要用幸福特調 真愛的味道']",我已無可救藥的愛上妳想要把全世界都給妳包括我懷裏最浪漫的真心愛你愛你是我所做過最對的事情我可以給你一輩子的時間讓你證明想陪著你變胖陪著你變老用幸福特調家的味道真愛的味道是你噓寒問暖的愛著我把我的話都放在心底喜歡你為我準備好的永遠包括一個溫暖的屋頂有一個好男人正在等妳說妳願意想陪著妳變胖陪著妳變老用幸福特調家的味道我的愛是情歌是鑽戒是門票邀請妳去天荒地老因為你知道怎樣對我最好用幸福特調真愛的味道我要說我愛你想陪著你變胖陪著你變老用幸福特調家的味道想陪著你變胖陪著你變老用幸福特調家的味道我的愛是情歌是鑽戒是門票邀請妳去天荒地老因為我知道怎樣對你最好要用幸福特調真愛的味道想要把全世界都給妳包括我懷裏最浪漫的真心我可以給你一輩子的時間讓你證明用幸福特調家的味道真愛的味道是你噓寒問暖的愛著我把我的話都放在心底喜歡你為我準備好的永遠包括一個溫暖的屋頂有一個好男人正在等妳說妳願意用幸福特調家的味道我的愛是情歌是鑽戒是門票邀請妳去天荒地老用幸福特調真愛的味道用幸福特調家的味道想陪著你變胖陪著你變老用幸福特調家的味道邀請妳去天荒地老因為我知道怎樣對你最好要用幸福特調真愛的味道
說真話的朋友,"['聽人們說時間是賊', '我們被偷走幾歲', '回頭看看 你有沒有 後悔', '想起自己多麼愚昧', '吞下了多少淚水', '誰的青春 沒有幾次 狼狽', '我們都不是 學不會擁抱的刺猬', '爭吵是因為 不懂得虛偽', '犯不著為了 小小衝突無言以對', '黑白與是非 比不上 友誼萬萬歲', '你是個說真話的朋友', '一開口就不會保留', '跟我一樣衝動 固執得不要人懂', '我有個說真話的朋友', '心裡非常富有', '頭髮斑白時候 頑石終於點頭', '變的溫柔', '聽人們說時間是賊', '我們被偷走幾歲', '回頭看看 你有沒有 後悔', '想起自己多麼愚昧', '吞下了多少淚水', '誰的青春 沒有幾次 狼狽', '我們都不是 學不會擁抱的刺猬', '爭吵是因為 不懂得虛偽', '犯不著為了 小小衝突無言以對', '黑白與是非 比不上 友誼萬萬歲', '你是個說真話的朋友', '一開口就不會保留', '跟我一樣衝動 固執得不要人懂', '我有個說真話的朋友', '心裡非常富有', '頭髮斑白時候 頑石終於點頭', '變的溫柔', '你是個說真話的朋友', '一開口就不會保留', '跟我一樣衝動 固執得不要人懂', '我有個說真話的朋友', '心裡非常富有', '頭髮斑白時候 頑石終於點頭', '變的溫柔']",聽人們說時間是賊我們被偷走幾歲回頭看看你有沒有後悔想起自己多麼愚昧吞下了多少淚水誰的青春沒有幾次狼狽我們都不是學不會擁抱的刺猬爭吵是因為不懂得虛偽犯不著為了小小衝突無言以對黑白與是非比不上友誼萬萬歲你是個說真話的朋友一開口就不會保留跟我一樣衝動固執得不要人懂我有個說真話的朋友心裡非常富有頭髮斑白時候頑石終於點頭變的溫柔聽人們說時間是賊我們被偷走幾歲回頭看看你有沒有後悔想起自己多麼愚昧吞下了多少淚水誰的青春沒有幾次狼狽我們都不是學不會擁抱的刺猬爭吵是因為不懂得虛偽犯不著為了小小衝突無言以對黑白與是非比不上友誼萬萬歲你是個說真話的朋友一開口就不會保留跟我一樣衝動固執得不要人懂我有個說真話的朋友心裡非常富有頭髮斑白時候頑石終於點頭變的溫柔你是個說真話的朋友一開口就不會保留跟我一樣衝動固執得不要人懂我有個說真話的朋友心裡非常富有頭髮斑白時候頑石終於點頭變的溫柔
